u,ri,I
-0.00485,-1E-05,-1E-08
0.20487,0.24837,0.00024837
0.31335,0.9197,0.0009197
0.32126,0.9792,0.0009792
0.34093,1.151,0.001151
0.35179,1.2516,0.0012516
0.3668,1.394,0.001394
0.38785,1.6124,0.0016124
0.3969,1.7054,0.0017054
0.40971,1.847,0.001847
0.41654,1.9232,0.0019232
0.4196,1.9591,0.0019591
0.43942,2.1939,0.0021939
0.47061,2.5819,0.0025819
0.50893,3.1102,0.0031102
0.52927,3.3898,0.0033898
0.56192,3.9109,0.0039109
0.59102,4.403,0.004403
0.62267,4.939,0.004939
0.64128,5.2856,0.0052856
0.7,6.5052,0.0065052
0.7249,7.053,0.007053
0.7438,7.308,0.007308
0.7523,7.585,0.007585
0.787,8.309,0.008309
0.8053,8.906,0.008906
0.8239,9.198,0.009198
0.842,9.752,0.009752
0.8599,10.152,0.010152
0.8772,10.713,0.010713
0.8933,11.104,0.011104
0.909,11.498,0.011498
0.938,12.257,0.012257
0.9535,12.753,0.012753
0.9593,12.93,0.01293
0.974,13.396,0.013396
0.9915,13.917,0.013917
1.0083,14.403,0.014403
1.0394,15.348,0.015348
1.0411,15.488,0.015488
1.0532,15.77,0.01577
1.057,15.943,0.015943
1.0691,16.423,0.016423
1.0808,16.845,0.016845
1.097,17.318,0.017318
1.112,17.896,0.017896
1.1237,18.301,0.018301
1.1361,18.891,0.018891
