u,ri,I
-0.0050,0.0000,0.0000
0.4358,0.0513,0.0001
0.5359,0.4994,0.0005
0.5664,0.9357,0.0009
0.5867,1.4057,0.0014
0.6028,1.9608,0.0020
0.6029,1.9458,0.0019
0.6136,2.4424,0.0024
0.6227,2.9351,0.0029
0.6289,3.3765,0.0034
0.6366,3.9279,0.0039
0.6424,4.4407,0.0044
0.6467,4.8690,0.0049
0.6523,5.4386,0.0054
0.6558,5.8716,0.0059
0.6596,6.3746,0.0064
0.6630,6.8520,0.0069
0.6661,7.4330,0.0074
0.6689,7.7920,0.0078
0.6721,8.3500,0.0084
0.6731,8.5460,0.0085
0.6745,8.7910,0.0088
0.6774,9.3390,0.0093
0.6805,10.1990,0.0102
0.6818,10.2940,0.0103
0.6832,10.7510,0.0108
0.6857,11.2080,0.0112
0.6882,11.8460,0.0118
0.6898,12.3130,0.0123
0.6911,12.6480,0.0126
0.6929,13.1950,0.0132
0.6949,13.8240,0.0138
0.6966,14.2420,0.0142
0.6983,14.8150,0.0148
0.6996,15.3190,0.0153
0.7008,15.7750,0.0158
0.7024,16.3570,0.0164
0.7036,16.7660,0.0168
0.7048,17.2770,0.0173
0.7062,17.7990,0.0178
0.7074,18.2380,0.0182
0.7085,18.7710,0.0188
0.7101,19.3920,0.0194
