u,ri,I
-0.00478,0,0
0.5505,0.00472,4.72E-06
0.7112,0.28975,0.00028975
0.7553,1.2594,0.0012594
0.7633,1.7968,0.0017968
0.7716,2.2687,0.0022687
0.7766,2.7181,0.0027181
0.7812,3.2675,0.0032675
0.7855,3.7484,0.0037484
0.7897,4.3022,0.0043022
0.7931,4.7334,0.0047334
0.7957,5.2094,0.0052094
0.7982,5.694,0.005694
0.801,6.2939,0.0062939
0.8025,6.666,0.006666
0.8049,7.174,0.007174
0.8068,7.627,0.007627
0.8086,8.284,0.008284
0.8099,8.662,0.008662
0.8118,9.208,0.009208
0.813,9.723,0.009723
0.8146,10.192,0.010192
0.8156,10.652,0.010652
0.8171,11.271,0.011271
0.8183,11.71,0.01171
0.8177,11.373,0.011373
0.8184,11.805,0.011805
0.8198,12.269,0.012269
0.8207,12.659,0.012659
0.8217,13.243,0.013243
0.8223,13.564,0.013564
0.8234,14.136,0.014136
0.8246,14.618,0.014618
0.8253,15.111,0.015111
0.8263,15.671,0.015671
0.8271,16.145,0.016145
0.8279,16.674,0.016674
0.8287,17.098,0.017098
0.8298,17.756,0.017756
0.8303,18.09,0.01809
0.831,18.568,0.018568
0.8318,19.145,0.019145
